Title,Price,Ratings,Total_no_of_Ratings
"Mivi DuoPods i7 earbuds - Step into The 3rd dimension of sound with 3D Soundstage, High Fidelity Drivers, Advanced Audio Codec for Lossless Audio, etc.","1,499",4.3 out of 5 stars,391 ratings
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Glacier Blue)",899,4.2 out of 5 stars,451 ratings
"Noise Buds N1 in-Ear Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency(up to 40 ms), Instacharge(10 min=120 min), BT v5.3(Carbon Black)","1,299",4.2 out of 5 stars,"7,555 ratings"
"boAt Airdopes 125 Tws in Ear Earbuds with 50 Hrs Playtime,Quad Mics with Enx?? Tech,ASAP?? Charging,Iwp?? Tech, Beast?? Mode with 50 Ms Low Latency,Btv5.3, Ipx5(Interstellar Blue)",999,3.4 out of 5 stars,774 ratings
"Samsung Galaxy Buds2 Pro, with Innovative AI features, Bluetooth Truly Wireless in Ear Earbuds with Noise Cancellation (Graphite)","9,990",4.4 out of 5 stars,"7,494 ratings"
"pTron Basspods Flare TWS Earbuds with 40ms Low Latency Gaming, TruTalk AI-ENC Stereo Calls, 35H Playtime, HD Mics, in-Ear Bluetooth 5.3 Headphones, Type-C Fast Charging & IPX4 Water Resistant (Blue)",599,3.9 out of 5 stars,"3,463 ratings"
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [ Misty Grey ]","1,799",4.2 out of 5 stars,"70,727 ratings"
"boAt Airdopes 311 Pro TWS in-Ear Earbuds w/Up to 50 HRS Playtime, Dual Mics with ENx™ Tech, 50 ms low-latency BEAST™ Mode, ASAP™ Charging, IWP™ Tech(Dusk Blue)","1,199",3.6 out of 5 stars,515 ratings
ZIYTRACK Ultra Pods Bluetooth Earbuds True Wireless Noise Cancelling Touch Control ENC Intelligent Communication IPX4 rating Superier Sound Headphone (Green),349,4.5 out of 5 stars,2 ratings
"FITRIC Ultra podspro New Bluetooth Wireless in Ear Earphone with Upto 30 Hours Playback, Gaming Mode, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3 Transparent TWS, Type C",399,3.4 out of 5 stars,3 ratings
Amazon Basics TWS in-Ear Earbuds (AB-T01B) with Fast Charging up to 80 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Grey),"1,199",4.8 out of 5 stars,87 ratings
"realme Buds T300 Truly Wireless in-Ear Earbuds with 30dB ANC, 360° Spatial Audio Effect, 12.4mm Dynamic Bass Boost Driver with Dolby Atmos Support, Upto 40Hrs Battery and Fast Charging (Dome Green)","2,199",4.1 out of 5 stars,"6,485 ratings"
"NatureInnovate TruEars D1 Premium Flash in-Ear TWS Earbuds with Inbuilt Mic and Bluetooth 5.3 Connectivity & 12 Hours of Playback Time, Type-C Charging Cable Included (Black)",438,3.7 out of 5 stars,13 ratings
"boAt Airdopes Atom 81 in Ear TWS Earbuds with Upto 50H Playtime, Quad Mics ENx Tech, 13MM Drivers,Super Low Latency(50ms), ASAP Charge, BT v5.3(Opal Black)",799,3.6 out of 5 stars,"33,054 ratings"
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Blue)","1,099",3.8 out of 5 stars,"23,752 ratings"
